id,attendance_id,timestamp,action,location,created_at,employee_id
"001ac853-e72d-4a30-8fd3-11c8ab4b4f94","edf7873c-93d6-5c10-884a-da67f1ec88bf","2026-01-16T10:53:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20005"
"00754a99-0c43-4237-b432-453b4e4f1051","cdd9057b-c0a9-5934-99a2-6c77bb5aad25","2026-01-11T03:04:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20032"
"00e7ce43-6ff5-40dc-9e10-39bfb5cae695","7dc38c10-a0e2-57d1-aab3-3a8db7a5becd","2026-01-15T17:50:00+00:00","CHECK","Office","2026-01-20T08:12:19.901418+00:00","20088"
"00ff39fa-c87b-4d39-9e97-65f03e24c282","1160b123-e842-5346-b56a-be3b2ab9fcb5","2026-01-06T03:21:00+00:00","CHECK","Office","2026-01-20T08:12:19.901418+00:00","20096"
"016734b5-2196-4b77-8496-c4b627d68e24","ea62b828-f2f8-5b8a-be87-716ca85ed4bc","2026-01-12T16:16:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20062"
"01b16a03-a85b-4a27-81a6-2151a63d5a62","7e6e6a1d-0d8f-5562-a085-a930294cf1a6","2026-01-17T09:50:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20023"
"01db2bd9-2d97-4cda-ba29-300d99cc25ff","9e9d9018-9a11-516b-92bf-31ac51dd245f","2026-01-10T19:22:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20025"
"01e5fbb6-a2e3-461e-8849-7781130d8207","0ab27532-4e3c-5d9f-9cbd-787c469ebebf","2026-01-18T17:47:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20044"
"01fb13bf-1ba3-4771-b903-b9c94ab3b9a4","fc788e43-8f02-5566-b7ee-55bd3f5d3fa0","2026-01-13T17:57:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20047"
"020d8d8f-28ad-4d09-8135-77c38067018d","9fd5dbd4-fa6e-5c21-b72a-a380327f048b","2026-01-12T03:11:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20066"
"023ce577-b9b8-41dc-896b-a4d5768e6f99","a8f53628-2c8a-546f-bcdb-80e6827c21af","2026-01-10T17:53:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20058"
"02576ddb-dd64-4017-9c2a-571f1fa54211","43e12fb5-e756-5ae9-9226-fc298e0d0ef4","2026-01-05T19:06:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20028"
"026c2bb0-697b-472d-87b0-5d9507b86c3b","e5582dac-5dfd-5c25-b17d-98816a3ba3ce","2026-01-09T17:50:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20020"
"02853357-ea5c-4e0e-9bac-eccb9eed7a23","3c8b4ad7-591a-5268-b50b-4fea3161aa8f","2026-01-10T17:52:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20004"
"0286b113-76c5-4c68-8d0e-fadcfca2969a","254a6fea-b225-59c0-994d-ca9b241abe4c","2026-01-06T21:19:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20049"
"02c07a78-e193-49fc-a6b7-86e675c63611","9d8d6342-53ea-5830-9a3d-cfac2d15c22b","2026-01-17T17:57:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20057"
"02c35fee-791f-4bae-af0f-052b0a7890e7","cce732ca-43df-5948-acfe-3b4e31a4d881","2026-01-13T18:40:00+00:00","CHECK","Office","2026-01-20T08:12:19.901418+00:00","20087"
"02e4bd2f-223a-4179-a567-c1d87d384d27","add77413-4e14-52ca-b21e-5db08134a7fd","2026-01-18T10:00:00+00:00","CHECK","Office","2026-01-20T08:12:19.901418+00:00","20072"
"033957ee-b388-4cac-a5c2-cc610ff8977e","8a2095ea-b2b6-50f0-a3a9-18db018c519f","2026-01-16T17:38:00+00:00","CHECK","Office","2026-01-20T08:12:19.901418+00:00","20076"
"035faebf-d4fd-4d8c-a90c-028d48074e1d","edf7873c-93d6-5c10-884a-da67f1ec88bf","2026-01-10T10:42:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20005"
"036b7c79-49fc-4b9f-aea9-b6a59891d4cd","e5582dac-5dfd-5c25-b17d-98816a3ba3ce","2026-01-19T03:31:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20020"
"036c4c1b-f1bf-478e-840b-93fb27eb4866","3236ea0d-5b01-5a25-9b71-b7b29a07bf15","2026-01-13T03:02:00+00:00","CHECK","Office","2026-01-20T08:12:19.621005+00:00","20040"
